Date,Time,Office kWh,Office Time,Office Max Amp,Water ㎥,Water Adjustment,Water Pressure Bar,Electricity kWh,Electricity Ajdustment,Gas ㎥,Gas Adjustment,Heater ℃ Digital,Heater ℃ Analogue,Heater Bar,Cellar ℃,Lighting kWh,Lighting Rec Time,Lighting On Time,Remark
Jan-16,6:45,,,,422.99970,,3.70,36446.3000,,2653.30000,,58,54,0.9,20,1.1490,30d 18h,21d 21h,Usage of electric heater in the cellar
Feb-16,7:30,,,,427.55880,,3.40,36761.6000,,2801.78700,,64,54,1,17,1.0840,28d 23h,20d 14h,Vacation to Mallorca. Cellar packed up for refurbishment
Mar-16,7:30,,,,433.33700,,3.60,37082.9000,,2956.67000,,32,50,1.5,16,,,,Vacation to USA
Apr-16,7:30,,,,439.30890,,3.80,37304.5000,,3042.03000,,59,54,1.5,20,0.5290,15d 19h,9d 22h,Vacation to USA plus cellar renovation
May-16,7:00,,,,444.94260,,3.60,37622.3000,,3098.30300,,61,56,1.5,22,0.3120,9d 11h,5d 17h,
Jun-16,7:00,,,,450.47550,,3.60,37900.7000,,3135.25000,,60,56,1.5,24,1.5290,30d 0h,19d 2h,
Jul-16,7:00,,,,455.63520,,3.80,38177.9000,,3168.56300,,63,56,1.5,24,1.6410,30d 23h,19d 9h,
Aug-16,7:00,,,,463.59380,,3.80,38478.1000,,3204.74500,,63,56,1.5,24,1.6190,30d 0h,19d 9h,Visitors - the last weekend
Sep-16,11:30,,,,469.54320,,3.70,38681.6000,,3228.72000,,48,44,1.4,22,0.7340,30d 5h,11d 20h,Switched on the heater 30.09.16
Oct-16,7:30,,,,475.41910,,3.80,39016.4000,,3331.94700,,70,54,1.5,20,1.0270,30d 20h,17d 21h,
Nov-16,8:30,,,,2.00000,479.00,3.40,39372.4000,,3494.75800,,75,50,1.4,18,1.2950,30d 1h,20d 6h,The water meter was changed Reading: 479m3
Dec-16,8:00,,,,8.61010,,3.70,39785.5000,,3684.63000,,68,52,1.3,16,1.1700,31d 0h,21d 15h,
Jan-17,6:30,,,,13.38590,,3.40,40133.8000,,3978.37800,,61,54,1.5,17,1.1460,30d 21h,21d 13h,Set the workshop heater to 17 degrees
Feb-17,6:30,,,,17.49320,,3.40,40467.0000,,4119.96500,,22,40,1.2,16,1.0440,27d 23h,19d 23h,The heating started to fail 27.02.17
Mar-17,4:50,,,,22.26670,,4.00,40812.3000,,4247.04700,,75,54,1.2,20,0.2350,29d 21h,20d 19h,Recorded a day early - Headed to Australia for two weeks.
Apr-17,6:30,,,,24.72490,,4.00,41044.2000,,4316.04200,,66,56,1.3,20,0.5550,14d 21h,10d 21h,
May-17,6:15,,,,31.48730,,3.80,41369.7500,,4380.48000,,64,56,1.2,23,1.0790,30d 23h,17d 20h,Turned the heating off. 
Jun-17,6:05,,,,36.42700,,4.00,41617.8000,,4413.14100,,65,56,1.3,24,0.8900,29d 13h,16d 13h,
Date,Time,Office kWh,Office Time,Office Max Amp,Water ㎥,Water Adjustment,Water Pressure Bar,Electricity kWh,Electricity Ajdustment,Gas ㎥,Gas Adjustment,Heater ℃ Digital,Heater ℃ Analogue,Heater Bar,Cellar ℃,Lighting kWh,Lighting Rec Time,Lighting On Time,Remark
